statecounty,margin,coolidge,davis,other,lafollette
13011,52.16%, 21.88%, 74.05%,-, 4.07%
13013,43.04%, 11.55%, 65.75%,-, 22.70%
13015,26.13%, 34.60%, 60.73%,-, 4.67%
13017,37.43%, 17.71%, 59.86%,-, 22.43%
13019,91.67%, 3.01%, 94.68%,-, 2.31%
13021,72.79%, 10.38%, 83.17%,-, 6.45%
13023,85.43%, 5.19%, 90.62%,-, 4.20%
13025,73.84%, 3.23%, 85.30%,-, 11.47%
13027,79.56%, 9.69%, 89.25%, 1.06%,-
13029,89.90%, 4.33%, 94.23%, 1.44%,-
13031,90.49%, 3.52%, 94.01%,-, 2.47%
13033,68.95%, 14.05%, 82.99%,-, 2.96%
13035,76.25%, 8.61%, 84.85%,-, 6.54%
13037,67.23%, 16.02%, 83.25%, 0.73%,-
13039,97.14%,-, 98.29%, 1.71%,-
13043,84.39%, 5.20%, 89.59%,-, 5.20%
13045,49.57%, 20.72%, 70.29%,-, 8.98%
13047,44.96%, 25.97%, 70.92%,-, 3.11%
13049,73.60%, 11.24%, 84.83%,-, 3.93%
13051,49.44%, 20.42%, 69.86%,-, 9.72%
13053,85.46%, 6.17%, 91.63%,-, 2.20%
13055,58.37%, 19.99%, 78.36%, 1.65%,-
13057,16.43%, 39.99%, 56.42%,-, 3.59%
13059,67.90%, 14.35%, 82.26%,-, 3.39%
13061,58.91%, 15.41%, 74.32%,-, 10.27%
13063,50.25%, 11.68%, 69.29%,-, 19.04%
13065,82.26%, 4.91%, 88.68%,-, 6.42%
13067,52.25%, 18.95%, 71.20%,-, 9.84%
13069,66.46%, 9.54%, 78.46%,-, 12.00%
13071,71.12%, 10.67%, 81.79%,-, 7.54%
13073,55.33%, 15.67%, 71.00%,-, 13.33%
13075,78.83%, 7.57%, 86.40%,-, 6.02%
13077,84.42%, 6.00%, 90.42%,-, 3.58%
13079,90.11%,-, 94.12%, 1.87%, 4.01%
13081,87.82%, 4.41%, 92.23%,-, 3.36%
13083,59.92%, 16.06%, 75.98%,-, 7.96%
13085,2.75%, 48.35%, 51.10%, 0.55%,-
13087,52.71%, 16.38%, 69.09%,-, 14.53%
13089,52.05%, 18.20%, 70.26%,-, 11.54%
13091,89.11%, 5.19%, 94.30%, 0.51%,-
13093,85.56%, 7.06%, 92.62%, 0.31%,-
13095,68.34%, 12.71%, 81.05%,-, 6.24%
13097,38.43%, 14.96%, 61.74%,-, 23.30%
13099,66.44%, 5.06%, 80.69%,-, 14.25%
13101,95.15%, 2.22%, 97.37%, 0.40%,-
13103,73.40%, 9.61%, 83.00%,-, 7.39%
13105,64.72%, 5.59%, 79.56%,-, 14.84%
13107,86.69%, 5.04%, 91.73%,-, 3.23%
13109,92.87%, 2.54%, 95.41%,-, 2.05%
13111,20.90%, 60.40%, 39.49%, 0.11%,-
13113,66.56%, 7.43%, 79.57%,-, 13.00%
13115,55.76%, 18.05%, 73.81%,-, 8.14%
13117,40.49%, 28.93%, 69.42%, 1.65%,-
13119,59.55%, 12.93%, 73.31%,-, 13.76%
13121,36.41%, 25.55%, 61.96%,-, 12.49%
