08009,x,"2,225","1,118",50.25%, 73.93%, 23.69%, 2.25%, 0.13%,527,50, 3
08011,x,"2,372",738,31.11%, 64.29%, 33.18%, 2.19%, 0.34%,787,52, 8
08013,x,x,x,"71,770","11,282",15.72%, 56.80%, 41.08%,"40,766","29,484"," 1,520"
08014,x,x,x,x,x,x,x,x,0,0,0%
08015,x,x,x,"4,291","1,505",35.07%, 66.63%, 31.55%,"2,859","1,354", 78
08017,x,"1,286",415,32.27%, 63.37%, 31.10%, 5.29%, 0.23%,400,68, 3
08019,x,"2,502",742,29.66%, 62.23%, 32.57%, 3.76%, 1.44%,815,94, 36
08021,x,"2,987",518,17.34%, 55.51%, 38.17%, 6.16%, 0.17%,"1,140",184, 5
08023,x,x,x,"1,428",142,9.94%, 52.10%, 42.16%,744,602, 82
08025,x,"1,548",680,43.93%, 70.67%, 26.74%, 2.26%, 0.32%,414,35, 5
08027,x,693,341,49.21%, 71.43%, 22.22%, 6.20%, 0.14%,154,43, 1
08029,x,"7,220","2,987",41.37%, 67.73%, 26.36%, 5.48%, 0.43%,"1,903",396, 31
08031,x,x,x,"225,335","23,933",10.62%, 54.14%, 43.52%,"121,995","98,062"," 5,278"
08033,x,694,332,47.84%, 71.76%, 23.92%, 4.03%, 0.29%,166,28, 2
08035,x,"4,800","2,577",53.69%, 75.52%, 21.83%, 2.08%, 0.56%,"1,048",100, 27
08037,x,x,x,"3,301",614,18.60%, 58.16%, 39.56%,"1,920","1,306", 75
08039,x,"1,932",965,49.95%, 73.29%, 23.34%, 2.90%, 0.47%,451,56, 9
08041,x,"77,985","32,658",41.88%, 69.11%, 27.23%, 2.90%, 0.77%,"21,234","2,262", 597
08043,x,"9,795","3,888",39.69%, 68.41%, 28.72%, 2.53%, 0.34%,"2,813",248, 33
08045,x,"6,718","2,364",35.19%, 66.27%, 31.08%, 2.13%, 0.52%,"2,088",143, 35
08047,x,905,154,17.02%, 57.02%, 40.00%, 2.10%, 0.88%,362,19, 8
08049,x,x,x,"2,461","1,036",42.10%, 69.93%, 27.83%,"1,721",685, 55
08051,x,x,x,"3,508","1,044",29.76%, 63.60%, 33.84%,"2,231","1,187", 90
08053,x,222,128,57.66%, 77.48%, 19.82%, 2.25%, 0.45%,44,5, 1
08055,x,x,x,"3,027",279,9.22%, 53.52%, 44.30%,"1,620","1,341", 66
08057,x,x,x,812,445,54.80%, 76.72%, 21.92%,623,178, 11
08059,x,x,x,"114,597","48,527",42.35%, 69.88%, 27.54%,"80,082","31,555"," 2,960"
08061,x,"1,250",477,38.16%, 67.92%, 29.76%, 2.16%, 0.16%,372,27, 2
08063,x,"3,267","1,492",45.67%, 70.89%, 25.22%, 3.80%, 0.09%,824,124, 3
08065,x,x,x,"2,899",293,10.11%, 53.67%, 43.57%,"1,556","1,263", 80
08067,x,"9,144","2,861",31.29%, 62.24%, 30.95%, 6.29%, 0.52%,"2,830",575, 48
08069,x,x,x,"42,234","13,731",32.51%, 65.02%, 32.51%,"27,462","13,731"," 1,041"
08071,x,x,x,"6,957",437,6.28%, 52.59%, 46.31%,"3,659","3,222", 76
08073,x,x,x,"2,396",993,41.44%, 70.03%, 28.59%,"1,678",685, 33
08075,x,x,x,"7,956","2,926",36.78%, 67.27%, 30.49%,"5,352","2,426", 178
08077,x,"22,613","9,169",40.55%, 68.66%, 28.12%, 2.78%, 0.44%,"6,358",628, 100
08079,x,x,x,348,151,43.39%, 70.98%, 27.59%,247,96, 5
08081,x,x,x,"2,848","1,337",46.95%, 67.70%, 20.75%,"1,928",591,329
08083,x,x,x,x,x,"4,614","2,168",46.99%, 26.51%,"3,391","1,223"
08085,x,"7,059","2,701",38.26%, 64.75%, 26.49%, 8.29%, 0.47%,"1,870",585, 33
08087,x,x,x,"7,621","3,284",43.09%, 70.40%, 27.31%,"5,365","2,081", 175
08089,x,x,x,"9,150","3,087",33.74%, 65.75%, 32.01%,"6,016","2,929", 205
08091,x,897,483,53.85%, 74.58%, 20.74%, 3.68%, 1.00%,186,33, 9
08093,x,x,x,"1,424",615,43.19%, 70.29%, 27.11%,"1,001",386, 37
08095,x,"2,266",793,35.00%, 65.31%, 30.32%, 4.15%, 0.22%,687,94, 5
08097,x,x,x,"4,674",467,9.99%, 54.15%, 44.16%,"2,531","2,064", 79
